id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2488004,Tall House- Walk to Beaches,12732725,Gloria,Southern Gulf Islands,Southern Gulf Islands,48.73782,-123.20216,Entire home/apt,145,2,165,2019-07-26,1.91,1,310,9,
2544515,Sidney 3 bedroom house blocks to ocean and town,13027502,Darren,Sidney,Sidney,48.64614,-123.39976,Entire home/apt,229,3,18,2021-08-23,0.24,2,63,6,
2560212,Deluxe studio suite 2 blocks ocean/town,13027502,Darren,Sidney,Sidney,48.64483,-123.39814,Entire home/apt,199,2,30,2019-07-08,0.61,2,182,0,
2600175,Waterfront Eco home with hot tub,4130371,Caroline,Saanich,Saanich,48.4641,-123.41484,Entire home/apt,350,2,47,2020-07-02,1.93,1,218,10,
2671849,3 BR Downtown / Inner Harbor Executive,9016497,Glen,Victoria,Victoria West,48.42743,-123.37625,Entire home/apt,349,7,7,2019-08-11,0.14,1,327,0,
2676866,"Rental unit in beautiful James Bay,",8902824,Thomas,Victoria,James Bay,48.41946,-123.38484,Entire home/apt,99,2,140,2019-10-23,2.83,1,255,4,
2682515,1 bedroom suite,13732844,Mary Ellen,Saanich,Saanich,48.44395,-123.32277,Entire home/apt,118,1,30,2021-09-07,0.47,1,353,9,
2695286,"Soak in the Marble Tub at Our Sleek, Urban Condo",11773739,Annie,Victoria,Downtown,48.42303,-123.36671,Entire home/apt,184,2,669,2020-12-14,10.03,2,275,64,
2748050,Suite in magical forest sanctuary,14059602,Renate,North Saanich,North Saanich,48.68388,-123.46262,Private room,95,2,17,2018-07-01,0.19,2,334,6,
2756438,Salt Spring Farm on the Lake-Monthly Summer Rental,12482823,Kim And Mike,Salt Spring Island,Salt Spring Island,48.78157,-123.43134,Entire home/apt,380,29,22,2018-08-21,0.25,1,267,0,
2770659,Birds of a Feather Oceanfront Condo #3 w/loft,14168871,Paphada & Dieter,Colwood,Colwood,48.42312,-123.47298,Entire home/apt,257,1,31,2021-09-07,0.64,4,344,21,
2771699,"Lovely home, great neighbourhood",7453989,Barbara,View Royal,View Royal,48.45216,-123.44504,Entire home/apt,175,7,36,2018-07-05,0.41,1,0,4,
2777765,Birds of a Feather Ocean Lagoon Condo #2 w/loft,14168871,Paphada & Dieter,Colwood,Colwood,48.42312,-123.47298,Entire home/apt,238,1,31,2019-09-02,0.77,4,338,11,
2818153,Gallery Cabin,455118,Celia,Salt Spring Island,Salt Spring Island,48.86095,-123.49984,Entire home/apt,139,2,150,2018-07-24,1.70,2,279,30,
2839203,Studio Near Fernwood Village,2001974,Martin,Victoria,Fernwood,48.42588,-123.34439,Entire home/apt,63,28,8,2020-12-31,0.09,17,225,1,
2858425,"Clean Cozy near UVic, Hospital, DT",14613802,Anna,Victoria,South Jubilee,48.42862,-123.32596,Private room,45,5,86,2020-03-15,1.63,2,250,8,
2874927,Birds of a Feather Oceanfront Condo - King Bed,14168871,Paphada & Dieter,Colwood,Colwood,48.42312,-123.47298,Entire home/apt,271,1,14,2019-12-24,0.19,4,333,6,
2883153,Port Renfrew Beach House,14733720,Port Renfrew Beach House,Juan de Fuca,Juan de Fuca,48.5569,-124.40614,Entire home/apt,450,1,74,2019-07-25,0.98,1,213,12,
2970733,Ocean-View !(Double Room with two double beds),15157379,Lauren,Colwood,Colwood,48.41734,-123.48157,Private room,220,2,17,2018-08-12,0.20,2,88,0,
2980014,Wow! Gonzales Beach!! 2 Bedroom!!,15199970,Jason,Victoria,Gonzales,48.41315,-123.33003,Entire home/apt,146,30,601,2020-01-01,7.00,4,235,24,
2997001,Top of the World,15277403,Concetta,Langford,Langford,48.41632,-123.51377,Private room,125,1,5,2017-07-16,0.08,1,0,0,
2998484,Private Room with Queen Bed,15285339,Sonja,Saanich,Saanich,48.4855,-123.42099,Private room,65,1,236,2019-09-13,4.59,1,117,0,
3012472,Waterfront Retreat on Galiano,4131274,Trish,Southern Gulf Islands,Southern Gulf Islands,48.97288,-123.55984,Entire home/apt,175,5,151,2018-09-06,1.74,1,329,8,
3027057,"Fireside Cottage, Galiano Island",15420155,Joanne,Southern Gulf Islands,Southern Gulf Islands,48.91315,-123.39473,Entire home/apt,295,2,71,2019-05-27,0.88,1,275,12,
3084861,Poirier Cove - house on the beach,11377003,Corinne,Juan de Fuca,Juan de Fuca,48.36212,-123.80037,Entire home/apt,224,2,175,2020-11-30,2.67,1,61,27,
3115397,The Shirley Grand - Ocean front Estate.,858603,John,Juan de Fuca,Juan de Fuca,48.41292,-124.00845,Entire home/apt,600,3,47,2017-12-27,0.59,1,1,14,
3121473,6 bedroom stunning Oceanfront Estate - Paradise,9176808,Victoria Executive Rentals,Saanich,Saanich,48.45204,-123.27929,Entire home/apt,920,30,0,,,18,333,0,
3133074,Victoria Studio By The Beach,15909261,Anita,Oak Bay,Oak Bay,48.4135,-123.31057,Entire home/apt,120,2,116,2020-02-17,2.88,1,337,23,
3175704,Gonzales Beach Character Home,16103648,Travis,Victoria,Gonzales,48.41159,-123.33372,Entire home/apt,399,2,81,2019-07-28,5.38,1,20,15,
3186167,North Star Cottage,16153395,Zoe,Southern Gulf Islands,Southern Gulf Islands,48.77019,-123.28561,Entire home/apt,115,3,99,2021-09-22,1.13,1,337,8,
3209352,Bright and Central Fernwood Home,16260473,Rachel,Victoria,Oaklands,48.43761,-123.33766,Entire home/apt,119,30,213,2019-11-30,5.55,1,180,1,
3219266,Suite Near It All (2 bed Upper),7693415,Jordan,Victoria,James Bay,48.41237,-123.37291,Entire home/apt,110,30,28,2017-06-24,0.34,7,90,0,
3240377,Private bedroom on 2nd floor,16394349,Santa,Saanich,Saanich,48.44875,-123.32548,Private room,64,2,22,2020-03-15,0.34,2,144,0,
3294156,Ruby room,16513589,Cindy,Saanich,Saanich,48.46187,-123.29805,Private room,29,30,20,2016-06-18,0.27,4,150,0,
3380702,Shared home Sooke,17056728,Kelly,Sooke,Sooke,48.37873,-123.73281,Private room,69,2,41,2018-07-08,0.47,1,151,2,
3402265,Salt Spring Waterfront,17158313,Kelley And Kent,Salt Spring Island,Salt Spring Island,48.85127,-123.44538,Entire home/apt,275,2,208,2020-02-29,2.37,1,183,34,
3415390,Jordan River Rainforest Cabin & Spa,3949883,Sarah,Juan de Fuca,Juan de Fuca,48.43857,-124.07368,Entire home/apt,395,2,209,2021-09-17,4.13,1,147,43,
3424337,Gorgeous Urban Condo @ Juliet,17260644,Linda,Victoria,Downtown,48.42721,-123.36218,Entire home/apt,150,1,70,2021-07-03,10.66,1,89,70,
3464301,Condo close to beach and golf,4080829,Rob & Angelika,Colwood,Colwood,48.4072,-123.49341,Entire home/apt,121,4,34,2019-09-23,0.68,3,323,8,
3486035,Cliff Top Family Home,17554011,Carley,Southern Gulf Islands,Southern Gulf Islands,48.74921,-123.21791,Entire home/apt,386,3,124,2021-07-30,2.00,1,86,13,
3487196,Sidneys Executive Suite is a Legal Accommodation,17559846,Scharie,Sidney,Sidney,48.65637,-123.41213,Entire home/apt,90,30,107,2021-03-01,1.24,1,245,1,
